LEAID,STNAME,FIPST,LEANM,PCTPROF_MTH_clean,PCTPROF_RLA_clean,NUMVALID_MTH_clean,NUMVALID_RLA_clean,SCHLEV,MEMBERSCH,TOTALEXP,TOTALREV,TFEDREV,TSTREV,TLOCREV,TCURINST,TCURSSVC,TCAPOUT,per_pupil_exp,poverty_rate,Estimated Population 5-17,cluster,log_enrollment,silhouette
3416890,NEW JERSEY,34,Wall Township Public School District,61.0,68.0,2016,2061,03,3411,85300000,88368000,1746000,15944000,70678000,46192000,30946000,1659000,25007.329228965114,5.577504066930048,4303,0,8.13505390861157,0.48218362284389393
3416920,NEW JERSEY,34,Wallington Boro School District,43.0,59.0,804,797,03,1236,24091000,25490000,729000,7963000,16798000,11438000,7404000,168000,19491.1003236246,13.464447806354013,1322,0,7.1204443723924875,0.19733715058259277
3416950,NEW JERSEY,34,Wanaque School District,55.0,72.0,571,570,01,891,21878000,22256000,557000,5954000,15745000,13000000,6141000,551000,24554.433221099887,8.1651376146789,1090,0,6.79346613258001,0.46010627263894466
3416970,NEW JERSEY,34,Warren Hills Regional School District,37.0,53.0,1140,1130,02,1747,41225000,44254000,792000,16317000,27145000,21402000,14863000,381000,23597.595878649117,6.528189910979229,1685,0,7.466227556215481,0.14438484677752594
3416980,NEW JERSEY,34,Warren Township School District,72.0,79.0,1134,1136,01,1667,50313000,50540000,539000,8823000,41178000,28228000,18946000,1325000,30181.763647270545,2.443438914027149,2210,0,7.419380582918692,0.4454848431736945
3417010,NEW JERSEY,34,Washington Borough School District,40.0,52.0,278,277,01,481,9599000,10162000,609000,4182000,5371000,5641000,3448000,0,19956.340956340955,11.8,500,0,6.1779441140506,0.048578561943631374
3417070,NEW JERSEY,34,Washington Township School District,40.0,50.0,4403,4434,03,7124,164082000,165806000,3934000,71055000,90817000,87445000,61285000,4949000,23032.28523301516,5.513843266072267,8524,0,8.871365005136852,0.1541096908906325
3417100,NEW JERSEY,34,Robbinsville Public Schools,68.0,74.0,1991,2048,03,3142,53457000,59784000,867000,13855000,45062000,28346000,17552000,1566000,17013.68555060471,2.24011200560028,2857,0,8.052933036797567,0.5067106387563927
3417130,NEW JERSEY,34,Washington Township School District,65.0,72.0,1441,1442,01,2000,51082000,52838000,686000,15068000,37084000,29060000,16487000,23000,25541.0,1.6922471467926012,2541,0,7.601402334583733,0.4782284188705633
3417160,NEW JERSEY,34,Washington Township School District,61.0,63.0,249,249,01,421,10652000,10860000,280000,4085000,6495000,5311000,4435000,366000,25301.66270783848,3.0249110320284696,562,0,6.045005314036012,0.4537619894672787
3417190,NEW JERSEY,34,Watchung Borough Public School District,67.0,83.0,410,409,01,636,14802000,14166000,191000,2482000,11493000,8173000,5839000,157000,23273.584905660377,3.8461538461538463,676,0,6.456769655572163,0.4842652438680769
3417220,NEW JERSEY,34,Watchung Hills Regional High School District,42.0,72.0,946,981,02,1982,47698000,52563000,462000,8406000,43695000,23926000,17108000,807000,24065.590312815337,2.473684210526316,1900,0,7.592366128519796,0.3679037976279999
3417250,NEW JERSEY,34,WATERFORD TOWNSHIP SCHOOL DISTRICT,39.0,42.0,418,418,01,814,31119000,32142000,710000,16966000,14466000,10021000,9315000,446000,38229.72972972973,8.19964349376114,1683,0,6.703188113240863,0.03594788037671162
3417280,NEW JERSEY,34,Wayne Township Public School District,61.0,72.0,4838,4831,03,7798,191624000,194330000,3311000,32655000,158364000,104937000,68024000,6006000,24573.480379584507,4.723717455783808,9103,0,8.961750799330497,0.478637482100752
3417310,NEW JERSEY,34,Weehawken Public School District,29.0,55.0,759,779,03,1407,36918000,32376000,1088000,7401000,23887000,16750000,9641000,4711000,26238.805970149253,13.351877607788596,1438,1,7.249925536717988,0.060887736751806226
3417340,NEW JERSEY,34,Wenonah  Boro School District,67.0,62.0,102,102,01,175,3764000,4033000,48000,1013000,2972000,2114000,1397000,23000,21508.571428571428,3.0172413793103448,232,0,5.170483995038151,0.480012569049672
3417400,NEW JERSEY,34,WEST CAPE MAY ELEMENTARY SCHOOL DISTRICT,54.5,64.5,45,45,01,98,2157000,2261000,126000,905000,1230000,1042000,835000,109000,22010.20408163265,14.285714285714285,35,0,4.59511985013459,0.38671882127821355
3417430,NEW JERSEY,34,West Deptford Township School District,45.0,59.0,1724,1766,03,2893,57932000,59059000,1693000,21751000,35615000,30298000,20714000,764000,20024.887659868647,6.749611197511664,3215,0,7.970394907191429,0.33521043381330357
3417460,NEW JERSEY,34,West Essex Regional School District,64.0,79.0,1094,1112,02,1687,44989000,47950000,387000,7290000,40273000,23829000,15619000,906000,26668.04979253112,3.4902168164992067,1891,0,7.431299675155903,0.47055072252286506
3417490,NEW JERSEY,34,West Long Branch School District,63.0,64.0,370,366,01,566,13180000,13655000,337000,2546000,10772000,7079000,4634000,29000,23286.219081272084,6.534090909090909,704,0,6.340359303727752,0.48524991306165105
3417520,NEW JERSEY,34,West Milford Township Public School District,44.0,63.0,1939,1955,03,3269,84902000,85417000,1811000,26301000,57305000,44006000,31904000,2299000,25971.8568369532,5.0268880056114105,4277,0,8.0925452638913,0.3408895939748367
3417550,NEW JERSEY,34,West Morris Regional High School District,67.0,83.0,1116,1173,02,2450,62732000,61413000,572000,12015000,48826000,30037000,18177000,6378000,25604.897959183672,1.6050244242847174,2866,0,7.804251383528112,0.46749308582381627
3417580,NEW JERSEY,34,West New York Board of Education,29.0,43.0,4591,4489,03,7796,163643000,167193000,12064000,136207000,18922000,86512000,52661000,1718000,20990.636223704463,27.59413624604771,6958,1,8.9614943233096,0.41836770072824775
3417610,NEW JERSEY,34,West Orange Public Schools,43.0,59.0,3993,3974,03,6596,182288000,184652000,5299000,38465000,140888000,99217000,59608000,5419000,27636.143117040632,9.959322923500851,7621,0,8.794370279222871,0.24598918372066397
3417640,NEW JERSEY,34,Woodland Park School District,40.0,54.0,695,690,01,1078,21832000,22700000,1013000,4218000,17469000,12383000,7721000,349000,20252.319109461965,16.140667267808837,1109,1,6.983789965258135,0.03625937060469475
3417700,NEW JERSEY,34,West Windsor-Plainsboro Regional School District,74.0,80.0,6107,6205,03,9552,212107000,208470000,2614000,35989000,169867000,105366000,68707000,22426000,22205.506700167505,3.5541195476575123,9904,0,9.164610520270008,0.4824858684428326
3417730,NEW JERSEY,34,Westampton Township Public School District,38.0,56.0,627,626,01,997,16498000,17257000,594000,6087000,10576000,9641000,5562000,84000,16547.642928786358,5.780933062880324,986,0,6.905753276311464,0.18517791214610527
