LEAID,LEANM,STNAME,per_pupil_exp,poverty_rate,PCTPROF_RLA_clean,predicted_reading,residual_reading,PCTPROF_MTH_clean,predicted_math,residual_math
3400004,School District of the Chathams,NEW JERSEY,20932.766990291264,1.6430171769977595,83.0,64.81149482515794,18.188505174842064,75.0,58.68702745347379,16.31297254652621
3400008,GREAT MEADOWS REGIONAL SCHOOL DISTRICT,NEW JERSEY,34545.180722891564,3.480278422273782,68.0,63.85453277586867,4.14546722413133,61.0,56.606964991932685,4.393035008067315
3400009,Somerset Hills Regional School District,NEW JERSEY,23980.91799896854,3.2458870609159627,70.0,63.416639379809176,6.583360620190824,56.0,57.096482661059724,-1.0964826610597243
3400660,Absecon Public Schools District,NEW JERSEY,21642.607683352737,14.100346020761243,49.0,52.51309679483758,-3.5130967948375798,42.0,46.90899527272196,-4.90899527272196
3400690,Alexandria Township School District,NEW JERSEY,25136.929460580912,3.766478342749529,64.0,62.97413939423491,1.0258606057650894,52.0,56.57567905553376,-4.575679055533762
3400720,Allamuchy Township School District,NEW JERSEY,26812.5,4.637096774193548,47.0,62.2177708071893,-15.217770807189297,49.0,55.71124908939952,-6.711249089399523
3400750,Allendale Public School District,NEW JERSEY,21975.97254004577,2.2869022869022877,90.0,64.23967251759528,25.76032748240472,86.0,58.05269596577038,27.947304034229617
3400769,South Hunterdon Regional School District,NEW JERSEY,28272.3263506064,5.226960110041266,60.0,61.72590457810683,-1.725904578106828,40.0,55.11733661541494,-15.117336615414942
3400810,Alloway Twp School District,NEW JERSEY,25193.90581717452,5.414012738853503,52.0,61.34528333172059,-9.345283331720587,48.0,55.018921553926596,-7.018921553926596
3400840,Alpha Borough School District,NEW JERSEY,28541.463414634145,10.122699386503069,47.0,56.8920016093287,-9.892001609328702,37.0,50.48881104437754,-13.488811044377542
3400870,Alpine Elementary School District,NEW JERSEY,49962.96296296296,6.461538461538462,92.0,61.337720341510924,30.662279658489076,82.0,53.61758667574091,28.38241332425909
3400900,Andover Regional School District,NEW JERSEY,39312.3595505618,4.048140043763676,63.0,63.59426825003269,-0.594268250032691,55.0,55.94984266133255,-0.9498426613325535
3400930,Asbury Park School District,NEW JERSEY,44471.638655462186,35.3253652058433,17.0,32.73780685224476,-15.73780685224476,8.0,26.369463352482647,-18.369463352482647
3400960,Atlantic City School District,NEW JERSEY,26459.51859956236,38.867154277938425,32.0,28.278300809162914,3.721699190837086,21.0,23.406242073787197,-2.4062420737871975
3401020,Atlantic Highlands School District,NEW JERSEY,20704.180064308683,6.093189964157706,72.0,60.38751134787384,11.61248865212616,62.0,54.491765165799116,7.508234834200884
3401050,Audubon Public School Disrict,NEW JERSEY,19661.107404936625,7.077625570776255,61.0,59.34590974184614,1.6540902581538575,41.0,53.58892067600455,-12.588920676004548
3401140,AVON BORO SCHOOL DISTRICT,NEW JERSEY,36035.97122302158,9.361702127659576,87.0,58.12145318680427,28.878546813195733,52.0,51.016910299532874,0.9830897004671257
3401170,BARRINGTON SCHOOL DISTRICT,NEW JERSEY,27821.42857142857,7.6923076923076925,52.0,59.25449603382663,-7.2544960338266335,46.0,52.80144035058667,-6.801440350586667
3401230,Bay Head Borough School District,NEW JERSEY,34401.639344262294,8.148148148148149,77.0,59.220237693244385,17.779762306755615,67.0,52.20403226559658,14.795967734403419
3401260,Bayonne School District,NEW JERSEY,17327.994286880228,19.977426636568847,58.0,46.41605609668313,11.583943903316872,38.0,41.47045083338402,-3.470450833384021
3401320,Bedminster Township Public School District,NEW JERSEY,36418.28793774319,3.0851063829787235,78.0,64.3649117368014,13.635088263198597,59.0,56.93245481783009,2.0675451821699085
3401350,Belleville Public Schools,NEW JERSEY,22492.2939468394,15.965139996291487,50.0,50.71925301652003,-0.7192530165200282,27.0,45.127011262217,-18.127011262217003
3401380,Bellmawr Public School District,NEW JERSEY,18690.02473206925,25.024533856722275,55.0,41.501496645896744,13.498503354103256,34.0,36.67127975824275,-2.671279758242747
3401410,Belmar Elementary School District,NEW JERSEY,31654.50643776824,15.692821368948248,60.0,51.570284613087715,8.429715386912285,36.0,45.15144032884771,-9.151440328847713
3401440,Belvidere School District,NEW JERSEY,21051.928783382788,5.034324942791762,46.0,61.458754113922744,-15.458754113922744,26.0,55.48252835385718,-29.482528353857177
3401500,Bergenfield Borough School District,NEW JERSEY,22679.762577727528,8.76803551609323,68.0,57.86244358640884,10.137556413591163,48.0,51.91648498647271,-3.9164849864727103
3401530,Berkeley Heights School District,NEW JERSEY,22903.263403263405,1.6175413371675056,79.0,64.96173572538515,14.038264274614846,69.0,58.66104257683872,10.338957423161283
